,average,country,genre,language,release_date,title,votes
0,9.7, 美国,"['剧情', '犯罪']", 英语,1994-09-10,肖申克的救赎 The Shawshank Redemption,2083437.0
1,9.2, 美国,"['喜剧', '动画', '冒险']", 英语 / 挪威语,2016-03-04,疯狂动物城 Zootopia,1321807.0
2,9.5, 美国,"['剧情', '爱情']", 英语,1994-06-23,阿甘正传 Forrest Gump,1573820.0
3,9.0, 中国大陆,"['剧情', '喜剧']", 汉语普通话 / 英语 / 上海话 / 印地语,2018-07-05,我不是药神,1529042.0
4,9.4, 日本,"['剧情', '动画', '奇幻']", 日语,2019-06-21,千与千寻 千と千尋の神隠し,1636148.0
5,8.9, 美国,"['剧情', '喜剧', '传记']", 英语 / 意大利语 / 俄语 / 德语,2019-03-01,绿皮书 Green Book,1109388.0
6,9.4, 美国,"['剧情', '爱情', '灾难']", 英语 / 意大利语 / 德语 / 俄语,1998-04-03,泰坦尼克号 Titanic,1527182.0
7,8.5, 中国大陆,"['剧情', '喜剧', '动画', '奇幻']", 汉语普通话,2019-07-26,哪吒之魔童降世,1455810.0
8,9.1, 美国,"['喜剧', '动画', '音乐', '奇幻']", 英语 / 西班牙语,2017-11-24,寻梦环游记 Coco,1103020.0
9,8.3, 中国大陆,"['剧情', '爱情', '犯罪']", 汉语普通话,2019-10-25,少年的你,1088622.0
10,9.0, 印度,"['剧情', '家庭', '传记', '运动']", 印地语,2017-05-05,摔跤吧！爸爸 Dangal,1144149.0
11,9.4, 法国 / 美国,"['剧情', '动作', '犯罪']", 英语 / 意大利语 / 法语,1994-09-14,这个杀手不太冷 Léon,1764129.0
12,9.6, 中国大陆 / 中国香港,"['剧情', '爱情', '同性']", 汉语普通话,1993-01-01,霸王别姬,1545027.0
13,9.1, 美国,"['剧情', '喜剧', '爱情']", 英语,2010-07-26,怦然心动 Flipped,1301037.0
14,9.2, 印度,"['剧情', '喜剧', '爱情', '歌舞']", 印地语 / 乌尔都语 / 英语,2011-12-08,三傻大闹宝莱坞 3 Idiots,1394830.0
